name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Guyana,30165867000,0.01%,38913,99%,99%,0%,0%,1%,3253057,1.61%,771368,4.22,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,14000,0,0,,2016,Barrels,0,-14000
Niger,34310284000,0.01%,1588,93%,76%,0%,16%,7%,2088475,0.15%,20788798,0.1,0.01%,6613860,272271,261247,0,0,,2016,Tons ,0,11023,0,0,0,0,0,,2015,Million Cubic Ft,,0,150000000,13497,12000,0,0,,2016,Barrels,0,1497
Guam,27908500000,0.00%,169883,97%,97%,0%,0%,3%,,,,,,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,12570,0,0,,2016,Barrels,0,-12570
Martinique,36175538000,0.01%,96225,98%,98%,0%,0%,2%,2715477,1.72%,376791,7.21,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,-319,16999,0,0,,2016,Barrels,0,-17318
Fiji,38870204000,0.01%,44299,87%,87%,0%,0%,13%,1703193,7.28%,872399,1.95,0.00%,0,0,1,1,0,1,2016,Tons ,,-1,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,16000,2,0,2,2016,Barrels,,-16000
U.S. Virgin Islands,33991878000,0.01%,324502,100%,100%,0%,0%,0%,,,,,,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,16440,0,0,,2016,Barrels,0,-16440
Suriname,38652993000,0.01%,67753,75%,75%,0%,0%,25%,2152933,0.32%,564888,3.81,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,99980000,16401,13000,0,0,,2016,Barrels,0,3401
Togo,41108083000,0.01%,5340,84%,76%,0%,8%,16%,2321546,5.47%,7509951,0.31,0.01%,0,0,161048,161048,0,161048,2016,Tons ,,-161048,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,15000,0,0,,2016,Barrels,0,-15000
Montenegro,43490743000,0.01%,69301,68%,39%,0%,29%,32%,16249039,2.27%,627264,25.9,0.05%,156528020,1541029,1500244,7518,46297,,2016,Tons ,38779,40785,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,7000,0,0,,2016,Barrels,0,-7000
Mauritania,39378962000,0.01%,9195,90%,90%,0%,0%,10%,2564345,3.32%,4163533,0.62,0.01%,0,0,0,0,0,,2016,Tons ,,0,1000000,0,0,0,0,,2015,Million Cubic Ft,,0,20000000,4836,17000,0,6251,,2016,Barrels,6251,-12164
