name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Pakistan,3.18344E+12,0.55%,15312,87%,37%,43%,7%,13%,178013820,9.13%,203631353,0.87,0.50%,3377477840,4506243,10199674,7107758,120,7107638,2016,Tons ,,-5693431,24700000,1454978,1436261,48382,0,48382,2015,Million Cubic Ft,,18717,353500000,88262,556000,140097,4896,135201,2016,Barrels,,-467738
Vietnam,3.24251E+12,0.56%,34276,80%,28%,9%,43%,20%,206042140,0.09%,93640422,2.2,0.58%,3703761600,42468697,56641097,14693792,1546342,13147450,2016,Tons ,,-14172400,24700000,365157,320660,0,0,,2015,Million Cubic Ft,0,44497,4400000000,313633,478000,8712,157615,,2016,Barrels,148903,-164367
Italy,6.77161E+12,1.16%,111607,84%,37%,40%,6%,16%,358139550,0.84%,60663060,5.9,1.00%,18739270,0,18787634,18418223,81080,18337143,2016,Tons ,,-18787634,1985000,239118,2384575,2163609,7805,2155804,2015,Million Cubic Ft,,-2145457,579232000,150147,1236628,1217209,16717,1200492,2016,Barrels,,-1086482
Indonesia,7.15869E+12,1.23%,27050,96%,45%,23%,28%,4%,530035650,6.41%,261556381,2.03,1.48%,24910001380,502653360,102623737,3929046,406630277,,2016,Tons ,402701230,400029623,103350000,3143035,1501241,0,1069691,,2015,Million Cubic Ft,1069691,1641794,3692500000,945637,1623000,398645,336816,61829,2016,Barrels,,-677363
United Kingdom,8.19085E+12,1.41%,122751,80%,39%,36%,5%,20%,367860350,-6.38%,66297944,5.55,1.03%,77000000,4605231,41459830,9362712,489094,8873619,2016,Tons ,,-36854599,8502000,1675238,2543775,1571623,502285,1069338,2015,Million Cubic Ft,,-868537,2754685000,1083928,1583896,797631,620188,177443,2016,Barrels,,-499968
Mexico,7.86885E+12,1.35%,63063,92%,50%,36%,6%,8%,441412750,-2.13%,123333376,3.58,1.23%,1334897410,13852746,22478332,9127352,2864,9124488,2016,Tons ,,-8625586,16549000,2336370,2756000,1287973,1095,1286879,2015,Million Cubic Ft,,-419630,9711000000,2484355,2052607,0,1236469,,2016,Barrels,1236469,431748
Saudi Arabia,1.09975E+13,1.90%,332238,100%,63%,37%,0%,0%,517079407,0.92%,32443447,15.94,1.45%,0,0,122987,123384,397,122987,2016,Tons ,,-122987,294205000,4231796,3614137,0,0,,2015,Million Cubic Ft,0,617659,2.66578E+11,12402761,3302000,1,7333557,,2016,Barrels,7333556,9100761
Brazil,1.25664E+13,2.20%,60464,64%,48%,10%,5%,36%,462994920,-6.08%,206163053,2.25,1.29%,7270836760,7721682,27275972,24291988,1706,24290282,2016,Tons ,,-19554290,16172000,1238144,1391058,670279,66,670213,2015,Million Cubic Ft,,-152914,16184100000,3242958,2984000,177352,832473,,2016,Barrels,655121,258958
France,1.02417E+13,1.80%,157947,54%,34%,16%,4%,46%,331533320,2.11%,64667596,5.13,0.93%,0,0,12900349,14325675,0,14325675,2016,Tons ,,-12900349,314000,742,1342959,1567386,191372,1376014,2015,Million Cubic Ft,,-1342217,78431000,133014,1705568,1092170,805,1091365,2016,Barrels,,-1572554
South Korea,1.26591E+13,2.20%,247749,88%,44%,15%,28%,12%,604043830,0.45%,50983457,11.85,1.69%,359353060,1902589,157124159,140976631,0,140976631,2016,Tons ,,-155221569,250000,6639,1565231,1533730,0,1533730,2015,Million Cubic Ft,,-1558592,0,108419,2605440,2946047,0,2946047,2016,Barrels,,-2497021
Iran,1.15993E+13,2.00%,143780,98%,31%,67%,0%,2%,642560030,2.22%,79563989,8.08,1.80%,1326078930,1395157,1472686,297737,224537,73200,2016,Tons ,,-77529,1201382000,9097956,6567636,337258,295940,41319,2015,Million Cubic Ft,,2530320,1.5753E+11,4376194,1803999,0,1896823,,2016,Barrels,1896823,2572195
Germany,1.40625E+13,2.40%,170128,81%,36%,24%,21%,19%,775752190,1.28%,82193768,9.44,2.17%,39802209480,193593194,257488593,63694779,306442,63388337,2016,Tons ,,-63895399,2048000,337258,2872840,3620388,1147949,2472438,2015,Million Cubic Ft,,-2535582,132480000,211888,2383393,1837305,2034,1835271,2016,Barrels,,-2171505
Canada,1.50621E+13,2.60%,410054,68%,33%,31%,4%,32%,675918610,-1.00%,36382944,18.58,1.89%,7255404420,67605855,42907417,6962137,33434695,,2016,Tons ,26472558,24698438,71794000,6751698,4053420,693092,2763505,,2015,Million Cubic Ft,2070413,2698278,1.70863E+11,4596725,2486301,891104,2749676,,2016,Barrels,1858572,2110424
Russia,3.28327E+13,5.60%,225608,89%,22%,52%,15%,11%,1661899300,-2.13%,145275383,11.44,4.65%,1.76771E+11,423095348,230392143,24331105,181506237,,2016,Tons ,157175131,192703205,1688228000,22728734,15538247,557977,6550933,,2015,Million Cubic Ft,5992956,7190487,80000000000,11262746,3631287,15047,5113524,,2016,Barrels,5098477,7631459
United States,9.76612E+13,16.80%,300418,81%,38%,29%,14%,19%,5011686600,-2.01%,323015995,15.52,14.02%,2.54197E+11,728364498,731071000,9849735,60271017,,2016,Tons ,50421282,-2706502,368704000,32914647,27243858,2718094,1783512,934582,2015,Million Cubic Ft,,5670789,35230000000,14837640,19687287,7850000,591000,7259000,2016,Barrels,,-4849647
Japan,1.94029E+13,3.30%,152177,90%,40%,25%,24%,10%,1239592060,-1.21%,127763265,9.7,3.47%,385808500,1353637,210559949,209164774,2626,209162148,2016,Tons ,,-209206313,738000,99836,4364157,4160849,0,4160849,2015,Million Cubic Ft,,-4264322,44115000,123525,4012877,3146668,0,3146668,2016,Barrels,,-3889352
India,3.04768E+13,5.20%,22766,91%,29%,7%,55%,9%,2533638100,4.71%,1324517249,1.91,7.09%,1.07727E+11,761662038,966288693,215789801,1018312,214771489,2016,Tons ,,-204626654,50398000,1133364,1753143,659331,9535,649796,2015,Million Cubic Ft,,-619778,4728790000,1016371,4443000,4255300,5,4255295,2016,Barrels,,-3426629
Antigua and Barbuda,10605278000,0.00%,111136,97%,97%,0%,0%,3%,438763,1.51%,94527,4.64,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
